title,slug,city,location_name,target_date,target_extreme,target_unit,station_id,resolution_source_url,source_domain,description,target_day_of_year,target_day_of_year_sin,target_day_of_year_cos,target_month,target_is_weekend,target_is_max,station_latitude,station_longitude,station_elevation_m,station_country,station_id_hash,source_domain_hash,has_station_coordinates,forecast_provider,forecast_temp_max_c,forecast_temp_min_c,forecast_temp_mean_c,forecast_temp_spread_c,forecast_hourly_count,observation_provider,latest_observation_temp_c,latest_observation_dewpoint_c,latest_observation_pressure_hpa,latest_observation_wind_speed_mps,observation_age_hours,station_verified,station_verification_reason,baseline_prediction_c,corrected_prediction_c,corrected_prediction_f,corrected_prediction_resolution_unit,corrected_prediction_resolution_value,model_name,created_at
Lowest temperature in Hong Kong on May 8?,lowest-temperature-in-hong-kong-on-may-8-2026,Hong Kong,Hong Kong Observatory,2026-05-08,min,celsius,HKO,https://www.weather.gov.hk/en/cis/climat.htm,weather.gov.hk,"This market will resolve to the temperature range that contains the lowest temperature recorded by the Hong Kong Observatory in degrees Celsius on 5 May '26.

The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Min (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm

This market can not resolve to ""Yes"" until data for this date has been finalized.

The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",128,0.8100248628547753,-0.5863955333706956,5,0,0,22.301944,114.174167,32.0,HK,8459,9590,1,open_meteo,28.6,22.4,25.2,6.200000000000003,24,,,,,,,1,station verified,22.4,21.32688101315016,70.38838582367029,celsius,21.32688101315016,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Kuala Lumpur on May 10?,highest-temperature-in-kuala-lumpur-on-may-10-2026,Kuala Lumpur,Kuala Lumpur Intl,2026-05-10,max,celsius,WMKK,https://www.wunderground.com/history/daily/my/sepang-district/WMKK,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Kuala Lumpur Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Kuala Lumpur Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/my/sepang-district/WMKK.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,2.747,101.714,21.0,MY,7729,3181,1,open_meteo,32.8,24.6,28.0,8.199999999999996,24,,,,,,,1,station verified,32.8,32.57161026149192,90.62889847068546,celsius,32.57161026149192,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Chengdu on May 11?,highest-temperature-in-chengdu-on-may-11-2026,Chengdu,Chengdu Shuangliu International,2026-05-11,max,celsius,ZUUU,https://www.wunderground.com/history/daily/cn/chengdu/ZUUU,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Chengdu Shuangliu International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Chengdu Shuangliu International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/chengdu/ZUUU.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",131,0.7787639308347607,-0.6273170968742938,5,0,1,30.576,103.95,494.0,CN,1001,3181,1,open_meteo,29.8,18.1,24.0,11.7,24,,,,,,,1,station verified,29.8,29.95054676534113,85.91098417761404,celsius,29.95054676534113,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Toronto on May 10?,highest-temperature-in-toronto-on-may-10-2026,Toronto,Toronto Pearson Intl,2026-05-10,max,celsius,CYYZ,https://www.wunderground.com/history/daily/ca/mississauga/CYYZ,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Toronto Pearson Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Toronto Pearson Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/ca/mississauga/CYYZ.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,43.679,-79.629,171.0,CA,7216,3181,1,open_meteo,12.9,3.9,9.2,9.0,24,,,,,,,1,station verified,12.9,12.856840395083754,55.14231271115076,celsius,12.856840395083754,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Jeddah on May 10?,highest-temperature-in-jeddah-on-may-10-2026,Jeddah,King Abdulaziz International,2026-05-10,max,celsius,OEJN,https://www.wunderground.com/history/daily/sa/jeddah/OEJN,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the King Abdulaziz International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the King Abdulaziz International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/sa/jeddah/OEJN.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,21.685,39.166,8.0,SA,1019,3181,1,open_meteo,36.2,23.9,29.8,12.300000000000004,24,,,,,,,1,station verified,36.2,36.4348359535168,97.58270471633026,celsius,36.4348359535168,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Singapore on May 11?,highest-temperature-in-singapore-on-may-11-2026,Singapore,Singapore Changi,2026-05-11,max,celsius,WSSS,https://www.wunderground.com/history/daily/sg/singapore/WSSS,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Singapore Changi Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Singapore Changi Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/sg/singapore/WSSS.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",131,0.7787639308347607,-0.6273170968742938,5,0,1,1.368,103.982,17.0,SG,9398,3181,1,open_meteo,30.5,25.9,28.1,4.600000000000001,24,,,,,,,1,station verified,30.5,30.877993715064612,87.58038868711631,celsius,30.877993715064612,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Ankara on May 11?,highest-temperature-in-ankara-on-may-11-2026,Ankara,Esenboğa Intl,2026-05-11,max,celsius,LTAC,https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Esenboğa Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Esenboğa Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",131,0.7787639308347607,-0.6273170968742938,5,0,1,40.128,32.995,952.0,TR,9266,3181,1,open_meteo,21.9,8.3,14.4,13.599999999999998,24,,,,,,,1,station verified,21.9,21.244988748066774,70.2409797465202,celsius,21.244988748066774,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Los Angeles on May 10?,highest-temperature-in-los-angeles-on-may-10-2026,Los Angeles,Los Angeles International,2026-05-10,max,fahrenheit,KLAX,https://www.wunderground.com/history/daily/us/ca/los-angeles/KLAX,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Los Angeles International Airport Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Los Angeles International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/ca/los-angeles/KLAX.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Fahrenheit (eg, 21°F). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,33.93817,-118.3866,30.0,US,1534,3181,1,open_meteo,19.7,14.7,16.8,5.0,24,,,,,,,1,station verified,19.7,19.822840172670446,67.68111231080681,fahrenheit,67.68111231080681,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Manila on May 10?,highest-temperature-in-manila-on-may-10-2026,Manila,Ninoy Aquino International,2026-05-10,max,celsius,RPLL,https://www.wunderground.com/history/daily/ph/manila/RPLL,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Ninoy Aquino International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Ninoy Aquino International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/ph/manila/RPLL.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,14.507,121.004,15.0,PH,6548,3181,1,open_meteo,36.7,27.5,31.3,9.200000000000005,24,,,,,,,1,station verified,36.7,37.008725951546054,98.6157067127829,celsius,37.008725951546054,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Paris on May 11?,highest-temperature-in-paris-on-may-11-2026,Paris,Paris-Le Bourget,2026-05-11,max,celsius,LFPB,https://www.wunderground.com/history/daily/fr/bonneuil-en-france/LFPB,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Paris-Le Bourget Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Paris-Le Bourget Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/fr/bonneuil-en-france/LFPB.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",131,0.7787639308347607,-0.6273170968742938,5,0,1,48.967,2.428,50.0,FR,8545,3181,1,open_meteo,14.6,8.9,11.2,5.699999999999999,24,,,,,,,1,station verified,14.6,13.37812488070146,56.08062478526263,celsius,13.37812488070146,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Tokyo on May 11?,highest-temperature-in-tokyo-on-may-11-2026,Tokyo,Tokyo Haneda,2026-05-11,max,celsius,RJTT,https://www.wunderground.com/history/daily/jp/tokyo/RJTT,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Tokyo Haneda Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Tokyo Haneda Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/jp/tokyo/RJTT.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",131,0.7787639308347607,-0.6273170968742938,5,0,1,35.553,139.781,5.0,JP,7278,3181,1,open_meteo,21.4,16.3,18.8,5.099999999999998,24,,,,,,,1,station verified,21.4,20.82131949445399,69.47837509001718,celsius,20.82131949445399,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in NYC on May 11?,highest-temperature-in-nyc-on-may-11-2026,NYC,LaGuardia,2026-05-11,max,fahrenheit,KLGA,https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the LaGuardia Airport Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the LaGuardia Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Fahrenheit (eg, 21°F). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",131,0.7787639308347607,-0.6273170968742938,5,0,1,40.77945,-73.88027,9.0,US,5879,3181,1,open_meteo,17.9,9.6,13.3,8.299999999999999,24,,,,,,,1,station verified,17.9,16.739435167527102,62.13098330154878,fahrenheit,62.13098330154878,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Los Angeles on May 12?,highest-temperature-in-los-angeles-on-may-12-2026,Los Angeles,Los Angeles International,2026-05-12,max,fahrenheit,KLAX,https://www.wunderground.com/history/daily/us/ca/los-angeles/KLAX,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Los Angeles International Airport Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Los Angeles International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/ca/los-angeles/KLAX.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Fahrenheit (eg, 21°F). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",132,0.7678804460366001,-0.6405931786981751,5,0,1,33.93817,-118.3866,30.0,US,1534,3181,1,open_meteo,22.5,13.1,18.4,9.4,24,,,,,,,1,station verified,22.5,21.664558376040308,70.99620507687256,fahrenheit,70.99620507687256,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Denver on May 11?,highest-temperature-in-denver-on-may-11-2026,Denver,Buckley Space Force Base,2026-05-11,max,fahrenheit,KBKF,https://www.wunderground.com/history/daily/us/co/aurora/KBKF,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Buckley Space Force Base Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Buckley Space Force Base Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/co/aurora/KBKF.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Fahrenheit (eg, 21°F). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",131,0.7787639308347607,-0.6273170968742938,5,0,1,39.713,-104.758,1703.0,US,6179,3181,1,open_meteo,29.0,9.3,19.6,19.7,24,,,,,,,1,station verified,29.0,27.844541369456323,82.12017446502138,fahrenheit,82.12017446502138,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in San Francisco on May 10?,highest-temperature-in-san-francisco-on-may-10-2026,San Francisco,San Francisco International,2026-05-10,max,fahrenheit,KSFO,https://www.wunderground.com/history/daily/us/ca/san-francisco/KSFO,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the San Francisco International Airport Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the San Francisco International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/ca/san-francisco/KSFO.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Fahrenheit (eg, 21°F). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,37.61961,-122.36561,2.0,US,5758,3181,1,open_meteo,17.4,11.3,13.7,6.099999999999998,24,,,,,,,1,station verified,17.4,15.960396548783153,60.728713787809674,fahrenheit,60.728713787809674,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Houston on May 10?,highest-temperature-in-houston-on-may-10-2026,Houston,William P. Hobby,2026-05-10,max,fahrenheit,KHOU,https://www.wunderground.com/history/daily/us/tx/houston/KHOU,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the William P. Hobby Airport Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the William P. Hobby Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/tx/houston/KHOU.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Fahrenheit (eg, 21°F). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,29.64582,-95.28214,13.0,US,8427,3181,1,open_meteo,31.4,24.0,26.9,7.399999999999999,24,,,,,,,1,station verified,31.4,30.039090665616666,86.07036319811,fahrenheit,86.07036319811,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Lowest temperature in NYC on May 10?,lowest-temperature-in-nyc-on-may-10-2026,NYC,LaGuardia,2026-05-10,min,fahrenheit,KLGA,https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA,wunderground.com,"This market will resolve to the temperature range that contains the lowest temperature recorded at the LaGuardia Airport Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the lowest temperature recorded for all times on this day by the Forecast for the LaGuardia Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Fahrenheit (eg, 21°F). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,0,40.77945,-73.88027,9.0,US,5879,3181,1,open_meteo,24.0,11.1,15.6,12.9,24,,,,,,,1,station verified,11.1,9.496195115850234,49.09315120853042,fahrenheit,49.09315120853042,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Taipei on May 11?,highest-temperature-in-taipei-on-may-11-2026,Taipei,Taipei Songshan,2026-05-11,max,celsius,RCSS,https://www.wunderground.com/history/daily/tw/taipei/RCSS,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Taipei Songshan Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Taipei Songshan Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/tw/taipei/RCSS.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",131,0.7787639308347607,-0.6273170968742938,5,0,1,25.069,121.552,8.0,TW,5295,3181,1,open_meteo,27.7,21.2,24.0,6.5,24,,,,,,,1,station verified,27.7,27.79448987963636,82.03008178334545,celsius,27.79448987963636,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in London on May 12?,highest-temperature-in-london-on-may-12-2026,London,London City,2026-05-12,max,celsius,EGLC,https://www.wunderground.com/history/daily/gb/london/EGLC,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the London City Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the London City Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/gb/london/EGLC.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",132,0.7678804460366001,-0.6405931786981751,5,0,1,51.505,0.055,10.0,GB,7897,3181,1,open_meteo,16.6,6.6,11.4,10.000000000000002,24,,,,,,,1,station verified,16.6,16.063858615676295,60.91494550821733,celsius,16.063858615676295,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Chicago on May 12?,highest-temperature-in-chicago-on-may-12-2026,Chicago,Chicago O'Hare Intl,2026-05-12,max,fahrenheit,KORD,https://www.wunderground.com/history/daily/us/il/chicago/KORD,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Chicago O'Hare Intl Airport Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Chicago O'Hare Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/il/chicago/KORD.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Fahrenheit (eg, 21°F). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",132,0.7678804460366001,-0.6405931786981751,5,0,1,41.96017,-87.93161,202.0,US,4768,3181,1,open_meteo,22.7,2.7,13.1,20.0,24,,,,,,,1,station verified,22.7,20.30565378987387,68.55017682177296,fahrenheit,68.55017682177296,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Karachi on May 10?,highest-temperature-in-karachi-on-may-10-2026,Karachi,Masroor Airbase,2026-05-10,max,celsius,OPKC,https://www.wunderground.com/history/daily/pk/karachi/OPKC,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Masroor Airbase Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Masroor Airbase Station once information is finalized, available here: https://www.wunderground.com/history/daily/pk/karachi/OPKC.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,24.902,67.139,20.0,PK,1957,3181,1,open_meteo,35.5,26.5,30.4,9.0,24,,,,,,,1,station verified,35.5,35.37249533820416,95.67049160876749,celsius,35.37249533820416,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
Highest temperature in Wuhan on May 11?,highest-temperature-in-wuhan-on-may-11-2026,Wuhan,Wuhan Tianhe International,2026-05-11,max,celsius,ZHHH,https://www.wunderground.com/history/daily/cn/wuhan/ZHHH,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Wuhan Tianhe International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Wuhan Tianhe International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/wuhan/ZHHH.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",131,0.7787639308347607,-0.6273170968742938,5,0,1,30.783,114.205,33.0,CN,2447,3181,1,open_meteo,29.1,17.5,22.9,11.6,24,,,,,,,1,station verified,29.1,28.968082700840103,84.14254886151218,celsius,28.968082700840103,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T19:02:49+00:00
