title,slug,city,location_name,target_date,target_extreme,target_unit,station_id,resolution_source_url,source_domain,description,target_day_of_year,target_day_of_year_sin,target_day_of_year_cos,target_month,target_is_weekend,target_is_max,station_latitude,station_longitude,station_elevation_m,station_country,station_id_hash,source_domain_hash,has_station_coordinates,forecast_provider,forecast_temp_max_c,forecast_temp_min_c,forecast_temp_mean_c,forecast_temp_spread_c,forecast_hourly_count,observation_provider,latest_observation_temp_c,latest_observation_dewpoint_c,latest_observation_pressure_hpa,latest_observation_wind_speed_mps,observation_age_hours,station_verified,station_verification_reason,baseline_prediction_c,gbm_prediction_c,station_bias_c,corrected_prediction_c,bias_correction_applied,corrected_prediction_f,corrected_prediction_resolution_unit,corrected_prediction_resolution_value,model_name,created_at
Highest temperature in Hong Kong on May 8?,highest-temperature-in-hong-kong-on-may-8-2026,Hong Kong,Hong Kong Observatory,2026-05-08,max,celsius,HKO,https://www.weather.gov.hk/en/cis/climat.htm,weather.gov.hk,"This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 5 May '26.

The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm

This market can not resolve to ""Yes"" until data for this date has been finalized.

The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",128,0.8100248628547753,-0.5863955333706956,5,0,1,22.301944,114.174167,32.0,HK,8459,9590,1,open_meteo,28.6,22.4,25.2,6.200000000000003,24,,,,,,,1,station verified,28.6,28.598572708214135,-0.0045,28.603072708214135,1,83.48553087478544,celsius,28.603072708214135,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T22:04:22+00:00
Highest temperature in Qingdao on May 11?,highest-temperature-in-qingdao-on-may-11-2026,Qingdao,Qingdao Jiaodong International,2026-05-11,max,celsius,ZSQD,https://www.wunderground.com/history/daily/cn/qingdao/ZSQD,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Qingdao Jiaodong International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Qingdao Jiaodong International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/qingdao/ZSQD.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",131,0.7787639308347607,-0.6273170968742938,5,0,1,36.362,120.087,2.0,CN,5599,3181,1,open_meteo,25.0,15.3,19.4,9.7,24,,,,,,,1,station verified,25.0,24.93144836912501,-0.0021,24.93354836912501,1,76.88038706442502,celsius,24.93354836912501,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T22:04:22+00:00
Highest temperature in Austin on May 12?,highest-temperature-in-austin-on-may-12-2026,Austin,Austin-Bergstrom International,2026-05-12,max,fahrenheit,KAUS,https://www.wunderground.com/history/daily/us/tx/austin/KAUS,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Austin-Bergstrom International Airport Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Austin-Bergstrom International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/tx/austin/KAUS.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Fahrenheit (eg, 21°F). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",132,0.7678804460366001,-0.6405931786981751,5,0,1,30.1831,-97.68063,148.0,US,2901,3181,1,open_meteo,28.3,17.4,22.7,10.900000000000002,24,,,,,,,1,station verified,28.3,27.968302995164894,0.1159,27.852402995164894,1,82.13432539129681,fahrenheit,82.13432539129681,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T22:04:22+00:00
Highest temperature in Warsaw on May 10?,highest-temperature-in-warsaw-on-may-10-2026,Warsaw,Warsaw Chopin,2026-05-10,max,celsius,EPWA,https://www.wunderground.com/history/daily/pl/warsaw/EPWA,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Warsaw Chopin Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Warsaw Chopin Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/pl/warsaw/EPWA.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,52.163,20.961,107.0,PL,2827,3181,1,open_meteo,21.9,7.5,14.9,14.4,24,,,,,,,1,station verified,21.9,21.256444177181763,0.4231,20.83334417718176,1,69.50001951892717,celsius,20.83334417718176,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T22:04:22+00:00
Highest temperature in Wellington on May 11?,highest-temperature-in-wellington-on-may-11-2026,Wellington,Wellington Intl,2026-05-11,max,celsius,NZWN,https://www.wunderground.com/history/daily/nz/wellington/NZWN,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Wellington Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Wellington Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/nz/wellington/NZWN.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",131,0.7787639308347607,-0.6273170968742938,5,0,1,-41.331,174.806,12.0,NZ,9756,3181,1,open_meteo,11.2,8.6,10.3,2.5999999999999996,24,,,,,,,1,station verified,11.2,11.168077293070962,-0.0017,11.169777293070961,1,52.10559912752773,celsius,11.169777293070961,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T22:04:22+00:00
Highest temperature in Buenos Aires on May 10?,highest-temperature-in-buenos-aires-on-may-10-2026,Buenos Aires,Minister Pistarini Intl,2026-05-10,max,celsius,SAEZ,https://www.wunderground.com/history/daily/ar/ezeiza/SAEZ,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Minister Pistarini Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Minister Pistarini Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/ar/ezeiza/SAEZ.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,-34.822,-58.536,16.0,AR,4215,3181,1,open_meteo,14.2,4.4,8.9,9.8,24,,,,,,,1,station verified,14.2,14.249053762649611,-0.0026,14.25165376264961,1,57.65297677276929,celsius,14.25165376264961,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T22:04:22+00:00
Highest temperature in Chicago on May 10?,highest-temperature-in-chicago-on-may-10-2026,Chicago,Chicago O'Hare Intl,2026-05-10,max,fahrenheit,KORD,https://www.wunderground.com/history/daily/us/il/chicago/KORD,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Chicago O'Hare Intl Airport Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Chicago O'Hare Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/il/chicago/KORD.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Fahrenheit (eg, 21°F). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,41.96017,-87.93161,202.0,US,4768,3181,1,open_meteo,18.4,5.2,12.6,13.2,24,,,,,,,1,station verified,18.4,17.282686769918378,0.027,17.255686769918377,1,63.06023618585308,fahrenheit,63.06023618585308,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T22:04:22+00:00
Highest temperature in Jakarta on May 11?,highest-temperature-in-jakarta-on-may-11-2026,Jakarta,Halim Perdanakusuma Intl,2026-05-11,max,celsius,WIHH,https://www.wunderground.com/history/daily/id/jakarta/WIHH,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Halim Perdanakusuma Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Halim Perdanakusuma Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/id/jakarta/WIHH.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",131,0.7787639308347607,-0.6273170968742938,5,0,1,-6.267,106.891,26.0,ID,294,3181,1,open_meteo,31.8,23.8,27.0,8.0,24,,,,,,,1,station verified,31.8,31.803498698509713,0.0059,31.797598698509713,1,89.23567765731748,celsius,31.797598698509713,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T22:04:22+00:00
Highest temperature in Chicago on May 11?,highest-temperature-in-chicago-on-may-11-2026,Chicago,Chicago O'Hare Intl,2026-05-11,max,fahrenheit,KORD,https://www.wunderground.com/history/daily/us/il/chicago/KORD,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Chicago O'Hare Intl Airport Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Chicago O'Hare Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/il/chicago/KORD.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Fahrenheit (eg, 21°F). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",131,0.7787639308347607,-0.6273170968742938,5,0,1,41.96017,-87.93161,202.0,US,4768,3181,1,open_meteo,12.8,5.2,9.7,7.6,24,,,,,,,1,station verified,12.8,12.41677990700065,0.027,12.389779907000651,1,54.301603832601174,fahrenheit,54.301603832601174,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T22:04:22+00:00
Highest temperature in Munich on May 11?,highest-temperature-in-munich-on-may-11-2026,Munich,Munich,2026-05-11,max,celsius,EDDM,https://www.wunderground.com/history/daily/de/munich/EDDM,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Munich Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Munich Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/de/munich/EDDM.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",131,0.7787639308347607,-0.6273170968742938,5,0,1,48.348,11.813,445.0,DE,9820,3181,1,open_meteo,17.8,9.3,13.9,8.5,24,,,,,,,1,station verified,17.8,17.970001688092882,0.0075,17.962501688092882,1,64.33250303856718,celsius,17.962501688092882,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T22:04:22+00:00
Lowest temperature in Hong Kong on May 8?,lowest-temperature-in-hong-kong-on-may-8-2026,Hong Kong,Hong Kong Observatory,2026-05-08,min,celsius,HKO,https://www.weather.gov.hk/en/cis/climat.htm,weather.gov.hk,"This market will resolve to the temperature range that contains the lowest temperature recorded by the Hong Kong Observatory in degrees Celsius on 5 May '26.

The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Min (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm

This market can not resolve to ""Yes"" until data for this date has been finalized.

The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",128,0.8100248628547753,-0.5863955333706956,5,0,0,22.301944,114.174167,32.0,HK,8459,9590,1,open_meteo,28.6,22.4,25.2,6.200000000000003,24,,,,,,,1,station verified,22.4,22.37707505394725,-0.0045,22.38157505394725,1,72.28683509710505,celsius,22.38157505394725,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T22:04:22+00:00
Highest temperature in Kuala Lumpur on May 10?,highest-temperature-in-kuala-lumpur-on-may-10-2026,Kuala Lumpur,Kuala Lumpur Intl,2026-05-10,max,celsius,WMKK,https://www.wunderground.com/history/daily/my/sepang-district/WMKK,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Kuala Lumpur Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Kuala Lumpur Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/my/sepang-district/WMKK.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,2.747,101.714,21.0,MY,7729,3181,1,open_meteo,32.8,24.6,28.0,8.199999999999996,24,,,,,,,1,station verified,32.8,32.8018166940226,-0.0072,32.809016694022596,1,91.05623004924067,celsius,32.809016694022596,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T22:04:22+00:00
Highest temperature in Chengdu on May 11?,highest-temperature-in-chengdu-on-may-11-2026,Chengdu,Chengdu Shuangliu International,2026-05-11,max,celsius,ZUUU,https://www.wunderground.com/history/daily/cn/chengdu/ZUUU,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Chengdu Shuangliu International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Chengdu Shuangliu International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/chengdu/ZUUU.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",131,0.7787639308347607,-0.6273170968742938,5,0,1,30.576,103.95,494.0,CN,1001,3181,1,open_meteo,29.8,18.1,24.0,11.7,24,,,,,,,1,station verified,29.8,29.796165878794902,-0.0035,29.7996658787949,1,85.63939858183082,celsius,29.7996658787949,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T22:04:22+00:00
Highest temperature in Toronto on May 10?,highest-temperature-in-toronto-on-may-10-2026,Toronto,Toronto Pearson Intl,2026-05-10,max,celsius,CYYZ,https://www.wunderground.com/history/daily/ca/mississauga/CYYZ,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Toronto Pearson Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Toronto Pearson Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/ca/mississauga/CYYZ.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,43.679,-79.629,171.0,CA,7216,3181,1,open_meteo,12.9,3.9,9.2,9.0,24,,,,,,,1,station verified,12.9,12.792143942826572,0.0757,12.716443942826572,1,54.88959909708783,celsius,12.716443942826572,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T22:04:22+00:00
Highest temperature in Jeddah on May 10?,highest-temperature-in-jeddah-on-may-10-2026,Jeddah,King Abdulaziz International,2026-05-10,max,celsius,OEJN,https://www.wunderground.com/history/daily/sa/jeddah/OEJN,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the King Abdulaziz International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the King Abdulaziz International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/sa/jeddah/OEJN.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,21.685,39.166,8.0,SA,1019,3181,1,open_meteo,36.2,23.9,29.8,12.300000000000004,24,,,,,,,1,station verified,36.2,36.21143358913053,-0.0016,36.21303358913053,1,97.18346046043496,celsius,36.21303358913053,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T22:04:22+00:00
Highest temperature in Singapore on May 11?,highest-temperature-in-singapore-on-may-11-2026,Singapore,Singapore Changi,2026-05-11,max,celsius,WSSS,https://www.wunderground.com/history/daily/sg/singapore/WSSS,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Singapore Changi Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Singapore Changi Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/sg/singapore/WSSS.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",131,0.7787639308347607,-0.6273170968742938,5,0,1,1.368,103.982,17.0,SG,9398,3181,1,open_meteo,30.5,25.9,28.1,4.600000000000001,24,,,,,,,1,station verified,30.5,30.514741246497515,0.0111,30.503641246497516,1,86.90655424369552,celsius,30.503641246497516,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T22:04:22+00:00
Highest temperature in Ankara on May 11?,highest-temperature-in-ankara-on-may-11-2026,Ankara,Esenboğa Intl,2026-05-11,max,celsius,LTAC,https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Esenboğa Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Esenboğa Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",131,0.7787639308347607,-0.6273170968742938,5,0,1,40.128,32.995,952.0,TR,9266,3181,1,open_meteo,21.9,8.3,14.4,13.599999999999998,24,,,,,,,1,station verified,21.9,21.9314260031633,-0.1801,22.1115260031633,1,71.80074680569393,celsius,22.1115260031633,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T22:04:22+00:00
Highest temperature in Los Angeles on May 10?,highest-temperature-in-los-angeles-on-may-10-2026,Los Angeles,Los Angeles International,2026-05-10,max,fahrenheit,KLAX,https://www.wunderground.com/history/daily/us/ca/los-angeles/KLAX,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Los Angeles International Airport Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Los Angeles International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/ca/los-angeles/KLAX.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Fahrenheit (eg, 21°F). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,33.93817,-118.3866,30.0,US,1534,3181,1,open_meteo,19.7,14.7,16.8,5.0,24,,,,,,,1,station verified,19.7,20.029690373374752,-0.0294,20.05909037337475,1,68.10636267207455,fahrenheit,68.10636267207455,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T22:04:22+00:00
Highest temperature in Manila on May 10?,highest-temperature-in-manila-on-may-10-2026,Manila,Ninoy Aquino International,2026-05-10,max,celsius,RPLL,https://www.wunderground.com/history/daily/ph/manila/RPLL,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Ninoy Aquino International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Ninoy Aquino International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/ph/manila/RPLL.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",130,0.7894179103280199,-0.6138561418226117,5,1,1,14.507,121.004,15.0,PH,6548,3181,1,open_meteo,36.7,27.5,31.3,9.200000000000005,24,,,,,,,1,station verified,36.7,36.70695918551414,-0.0033,36.71025918551414,1,98.07846653392545,celsius,36.71025918551414,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T22:04:22+00:00
Highest temperature in Paris on May 11?,highest-temperature-in-paris-on-may-11-2026,Paris,Paris-Le Bourget,2026-05-11,max,celsius,LFPB,https://www.wunderground.com/history/daily/fr/bonneuil-en-france/LFPB,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Paris-Le Bourget Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Paris-Le Bourget Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/fr/bonneuil-en-france/LFPB.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",131,0.7787639308347607,-0.6273170968742938,5,0,1,48.967,2.428,50.0,FR,8545,3181,1,open_meteo,14.6,8.9,11.2,5.699999999999999,24,,,,,,,1,station verified,14.6,14.258414829340305,0.0318,14.226614829340305,1,57.60790669281255,celsius,14.226614829340305,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T22:04:22+00:00
Highest temperature in Tokyo on May 11?,highest-temperature-in-tokyo-on-may-11-2026,Tokyo,Tokyo Haneda,2026-05-11,max,celsius,RJTT,https://www.wunderground.com/history/daily/jp/tokyo/RJTT,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Tokyo Haneda Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Tokyo Haneda Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/jp/tokyo/RJTT.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",131,0.7787639308347607,-0.6273170968742938,5,0,1,35.553,139.781,5.0,JP,7278,3181,1,open_meteo,21.4,16.3,18.8,5.099999999999998,24,,,,,,,1,station verified,21.4,21.605589413571693,-0.3966,22.002189413571692,1,71.60394094442904,celsius,22.002189413571692,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T22:04:22+00:00
Highest temperature in NYC on May 11?,highest-temperature-in-nyc-on-may-11-2026,NYC,LaGuardia,2026-05-11,max,fahrenheit,KLGA,https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the LaGuardia Airport Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the LaGuardia Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Fahrenheit (eg, 21°F). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",131,0.7787639308347607,-0.6273170968742938,5,0,1,40.77945,-73.88027,9.0,US,5879,3181,1,open_meteo,17.9,9.6,13.3,8.299999999999999,24,,,,,,,1,station verified,17.9,17.275671029964123,-0.0982,17.37387102996412,1,63.27296785393541,fahrenheit,63.27296785393541,sklearn_hist_gradient_boosting_bias_corrector,2026-05-10T22:04:22+00:00
